                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.66398,                 1.2692,                0.72939,                0.99821,                0.53908,                0.41773,                0.44095,                0.35223,                0.62725,                0.38961,                0.43992,                0.27027,                 1.0506,                 2.8803,                 2.1003,                 1.3525,               0.005446,               0.005446,               0.005446
                     25,                0.59728,                 1.0342,                 0.7135,                0.96095,                0.53499,                 0.4636,                0.44011,                0.34273,                0.52769,                0.45322,                0.42723,                0.28157,                 1.0881,                 2.8725,                 2.1591,                 1.3499,               0.005248,               0.005248,               0.005248
                     26,                0.64394,                 1.0185,                0.66218,                0.96648,                0.71145,                0.37438,                0.42571,                0.31957,                0.69111,                0.36283,                0.40125,                0.25174,                 1.1237,                 2.9095,                   2.15,                 1.4019,                0.00505,                0.00505,                0.00505
                     27,                0.63317,                0.98802,                0.69774,                 0.9858,                0.58271,                0.34601,                0.40893,                0.29424,                0.64087,                0.31725,                 0.3889,                0.22959,                 1.1684,                 3.1117,                 2.2594,                 1.4551,               0.004852,               0.004852,               0.004852
                     28,                0.60282,                 1.1036,                 0.6445,                0.95199,                0.78596,                0.34506,                0.43312,                0.31049,                0.77954,                0.34144,                0.42858,                0.25133,                 1.1734,                 3.1184,                 2.1178,                 1.4119,               0.004654,               0.004654,               0.004654
                     29,                0.65838,                 1.1215,                0.73133,                 1.0379,                0.66347,                0.34536,                0.44669,                0.33246,                0.66347,                0.34536,                0.43121,                0.27803,                 1.1112,                 2.9597,                 2.2165,                 1.3587,               0.004456,               0.004456,               0.004456
                     30,                0.57232,                0.94663,                0.65786,                0.98853,                  0.547,                0.37445,                0.41658,                0.29772,                0.54107,                0.35662,                0.40342,                0.23682,                 1.1331,                 3.2834,                 2.4307,                 1.3915,               0.004258,               0.004258,               0.004258
                     31,                0.55405,                0.99352,                0.64938,                0.96159,                0.65978,                0.36949,                0.43692,                0.31995,                0.65978,                0.36949,                0.43478,                0.26439,                 1.0866,                  3.321,                 2.2341,                 1.3807,                0.00406,                0.00406,                0.00406
                     32,                0.53937,                0.93312,                0.68489,                0.97419,                0.60586,                0.40541,                0.43791,                0.32939,                0.59989,                0.41015,                0.43057,                0.26839,                 1.0839,                 3.1976,                 2.1139,                 1.3921,               0.003862,               0.003862,               0.003862
                     33,                0.58088,                  1.048,                0.64363,                0.95182,                0.65024,                0.40955,                0.48717,                0.36425,                0.66036,                 0.4165,                0.47508,                0.30861,                 1.0909,                 3.0618,                  1.887,                 1.3838,               0.003664,               0.003664,               0.003664
                     34,                 0.6036,                 1.1916,                 0.6472,                0.94343,                0.67565,                0.46737,                0.51515,                0.36385,                0.66885,                0.46324,                0.49701,                0.31041,                 1.1764,                 2.9509,                 1.8444,                 1.4567,               0.003466,               0.003466,               0.003466
                     35,                0.53331,                0.94325,                0.56691,                0.91569,                0.68662,                 0.4764,                0.50739,                0.35067,                0.67311,                0.46078,                0.47329,                0.29409,                 1.1978,                 2.9909,                 1.9666,                 1.4516,               0.003268,               0.003268,               0.003268
                     36,                0.57928,                 1.0186,                0.65446,                0.96405,                0.69324,                0.41275,                0.48574,                0.34526,                 0.6641,                0.39743,                0.45849,                0.29153,                  1.174,                 3.0012,                 2.0848,                 1.4316,                0.00307,                0.00307,                0.00307
                     37,                0.61677,                0.90075,                0.64062,                 1.0141,                0.68594,                 0.4079,                0.47722,                0.34982,                0.65615,                0.39619,                 0.4564,                 0.2911,                 1.1099,                 3.0628,                 2.1986,                 1.3775,               0.002872,               0.002872,               0.002872
                     38,                0.50464,                 0.9335,                0.54066,                0.91743,                 0.6702,                0.38561,                0.45837,                0.34807,                0.64707,                0.37779,                 0.4457,                 0.2949,                 1.0881,                  2.902,                 2.2646,                 1.3756,               0.002674,               0.002674,               0.002674
                     39,                0.61856,                0.90795,                0.76906,                0.96871,                0.55058,                0.45235,                0.45334,                0.34653,                0.52577,                0.43834,                0.43631,                0.28739,                 1.0535,                 2.7509,                 2.2748,                 1.3601,               0.002476,               0.002476,               0.002476
                     40,                0.58006,                  1.003,                 0.5777,                0.93802,                0.57449,                0.45455,                0.48103,                0.37517,                0.55625,                0.43893,                0.45914,                0.30598,                0.98771,                 2.6653,                 2.1277,                 1.3202,               0.002278,               0.002278,               0.002278
                     41,                0.44012,                0.79423,                0.47184,                0.87101,                0.68469,                0.43998,                0.47467,                0.35996,                0.66173,                 0.4257,                0.44859,                0.29208,                 1.0203,                 2.6541,                 2.1806,                 1.3496,                0.00208,                0.00208,                0.00208
                     42,                0.46804,                0.75728,                0.53966,                0.88537,                0.69622,                0.41908,                0.48715,                0.35628,                0.67004,                0.40428,                0.45131,                 0.2962,                 1.0045,                 2.6638,                 2.0747,                 1.3404,               0.001882,               0.001882,               0.001882
                     43,                0.39302,                0.65744,                0.38819,                0.85561,                0.78579,                 0.4327,                0.50896,                0.36038,                0.74994,                0.40528,                0.46757,                0.29531,                 1.0617,                 2.6918,                 1.9983,                 1.3734,               0.001684,               0.001684,               0.001684
                     44,                 0.4507,                0.86147,                0.45063,                0.89755,                0.68947,                0.46656,                0.51811,                0.36347,                0.66166,                0.43034,                0.47266,                 0.2958,                 1.0986,                 2.7542,                 1.9495,                 1.3856,               0.001486,               0.001486,               0.001486
                     45,                0.46143,                0.83176,                0.48923,                 0.9272,                0.58186,                0.46808,                0.49635,                0.35648,                0.76664,                0.36321,                0.46882,                0.29553,                 1.0713,                  2.761,                 2.0845,                 1.3617,               0.001288,               0.001288,               0.001288
                     46,                0.44461,                 0.7149,                0.38306,                0.84703,                0.69323,                0.41506,                0.49913,                 0.3588,                0.68857,                0.38728,                0.46279,                0.29917,                 1.0596,                 2.8058,                  2.125,                 1.3455,                0.00109,                0.00109,                0.00109
                     47,                0.45739,                0.83433,                0.44486,                0.89336,                0.65676,                0.39778,                0.47444,                0.35058,                0.74478,                0.36468,                0.46341,                0.29404,                 1.0596,                  2.858,                 2.1713,                 1.3505,               0.000892,               0.000892,               0.000892
                     48,                0.37349,                0.81872,                0.47823,                0.86668,                0.69596,                0.39135,                0.47976,                0.35485,                0.73583,                 0.3777,                0.47944,                0.29338,                 1.0605,                 2.8385,                 2.1055,                 1.3632,               0.000694,               0.000694,               0.000694
                     49,                0.35815,                0.68958,                0.36377,                0.84351,                0.59799,                0.42037,                 0.4938,                0.37357,                0.81987,                0.37385,                0.49729,                0.30691,                 1.0581,                 2.8021,                 2.0686,                 1.3545,               0.000496,               0.000496,               0.000496
                     50,                0.36804,                0.68216,                0.35871,                0.84735,                0.62692,                0.42486,                0.49989,                0.39157,                0.67977,                0.41791,                0.50165,                0.31654,                 1.0569,                 2.7486,                 2.0567,                 1.3546,               0.000298,               0.000298,               0.000298
